ProductKey,ProductName,SubCategory,Category,StandardCost,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,Photo,ProductDescription,StartDate
1,Adjustable Race,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/1.jpg,,6/1/1998 0:00
2,Bearing Ball,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/2.jpg,,6/1/1998 0:00
3,BB Ball Bearing,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/3.jpg,,6/1/1998 0:00
4,Headset Ball Bearings,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/4.jpg,,6/1/1998 0:00
5,Blade,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/5.jpg,,6/1/1998 0:00
6,LL Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/6.jpg,,6/1/1998 0:00
7,ML Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/7.jpg,,6/1/1998 0:00
8,HL Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/8.jpg,,6/1/1998 0:00
9,Chainring Bolts,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/9.jpg,,6/1/1998 0:00
10,Chainring Nut,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/10.jpg,,6/1/1998 0:00
11,Chainring,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/11.jpg,,6/1/1998 0:00
12,Crown Race,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/12.jpg,,6/1/1998 0:00
13,Chain Stays,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/13.jpg,,6/1/1998 0:00
14,Decal 1,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/14.jpg,,6/1/1998 0:00
15,Decal 2,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/15.jpg,,6/1/1998 0:00
16,Down Tube,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/16.jpg,,6/1/1998 0:00
17,Mountain End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/17.jpg,,6/1/1998 0:00
18,Road End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/18.jpg,,6/1/1998 0:00
19,Touring End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/19.jpg,,6/1/1998 0:00
20,Fork End,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/20.jpg,,6/1/1998 0:00
21,Freewheel,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/21.jpg,,6/1/1998 0:00
22,Flat Washer 1,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/22.jpg,,6/1/1998 0:00
23,Flat Washer 6,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/23.jpg,,6/1/1998 0:00
24,Flat Washer 2,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/24.jpg,,6/1/1998 0:00
25,Flat Washer 9,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/25.jpg,,6/1/1998 0:00
26,Flat Washer 4,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/26.jpg,,6/1/1998 0:00
27,Flat Washer 3,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/27.jpg,,6/1/1998 0:00
28,Flat Washer 8,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/28.jpg,,6/1/1998 0:00
29,Flat Washer 5,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/29.jpg,,6/1/1998 0:00
30,Flat Washer 7,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/30.jpg,,6/1/1998 0:00
31,Fork Crown,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/31.jpg,,6/1/1998 0:00
32,Front Derailleur Cage,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/32.jpg,,6/1/1998 0:00
33,Front Derailleur Linkage,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/33.jpg,,6/1/1998 0:00
34,Guide Pulley,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/34.jpg,,6/1/1998 0:00
35,LL Grip Tape,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/35.jpg,,6/1/1998 0:00
36,ML Grip Tape,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/36.jpg,,6/1/1998 0:00
37,HL Grip Tape,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/37.jpg,,6/1/1998 0:00
38,Thin-Jam Hex Nut 9,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/38.jpg,,6/1/1998 0:00
39,Thin-Jam Hex Nut 10,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/39.jpg,,6/1/1998 0:00
40,Thin-Jam Hex Nut 1,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/40.jpg,,6/1/1998 0:00
41,Thin-Jam Hex Nut 2,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/41.jpg,,6/1/1998 0:00
